544	0.0306118
545	0.0408163
546	0.041480001
547	0.051659599
548	0.0624744
549	0.072463602
550	0.088647999
551	0.092762701
552	0.118010998
553	0.146586001
554	0.158122003
555	0.178571001
556	0.215013996
557	0.232062995
558	0.263985991
559	0.294515014
560	0.33673501
561	0.372406006
562	0.409723997
563	0.464414001
564	0.507677972
565	0.547832012
566	0.593190014
567	0.654408991
568	0.687690973
569	0.734731019
570	0.770407975
571	0.825816989
572	0.855316997
573	0.897737026
574	0.924162984
575	0.939413011
576	0.960448027
577	0.971171975
578	0.981725991
579	0.991958976
580	0.996173024
581	0.996236026
582	0.995487988
583	0.992169976
584	0.98861903
585	0.978954017
586	0.968134999
587	0.958023012
588	0.947313011
589	0.940289021
590	0.925010026
591	0.906982005
592	0.896579027
593	0.881596982
594	0.862251997
595	0.846301019
596	0.838500023
597	0.826041996
598	0.822063029
599	0.813484013
600	0.794191003
601	0.776950002
602	0.766910017
603	0.756147981
604	0.746137023
605	0.735332012
606	0.725044012
607	0.716612995
608	0.704333007
609	0.692936003
610	0.682398021
611	0.682008028
612	0.672190011
613	0.661925972
614	0.651081026
615	0.640944004
616	0.629794002
617	0.618830979
618	0.617451012
619	0.601787984
620	0.589923024
621	0.580190003
622	0.571024001
623	0.562366009
624	0.549670994
625	0.53826499
626	0.524406016
627	0.515345991
628	0.510721982
629	0.495756
630	0.485969007
631	0.478846014
632	0.469825
633	0.461064994
634	0.460085005
635	0.439413011
636	0.429161996
637	0.41813001
638	0.408638
639	0.398344994
640	0.387116998
641	0.37430799
642	0.363770992
643	0.354451001
644	0.343935013
645	0.334183991
646	0.324295998
647	0.315219998
648	0.305943996
649	0.296759993
650	0.28826499
651	0.280342013
652	0.272819012
653	0.264373988
654	0.257295012
655	0.248087004
656	0.240569994
657	0.233023003
658	0.225106999
659	0.218384996
660	0.211734995
661	0.206446007
662	0.198483005
663	0.195151001
664	0.188153997
665	0.184311002
666	0.178630993
667	0.171693996
668	0.168863997
669	0.162636995
670	0.159438998
671	0.155692995
672	0.149882004
673	0.146721005
674	0.140509993
675	0.138393
676	0.134564996
677	0.131558001
678	0.128232002
679	0.123912998
680	0.121174
681	0.117349997
682	0.114913002
683	0.111541003
684	0.108571999
685	0.105230004
686	0.103632003
687	0.101360999
688	0.0981839
689	0.096387804
690	0.0931122
691	0.091580801
692	0.088113397
693	0.086610802
694	0.083473399
695	0.082270399
696	0.081013799
697	0.077198498
698	0.075899802
699	0.073925398
700	0.074617296
701	1.00E-05
702	1.00E-05
703	1.00E-05
704	1.00E-05
705	1.00E-05
706	1.00E-05
707	1.00E-05
708	1.00E-05
709	1.00E-05
710	1.00E-05
711	1.00E-05
712	1.00E-05
713	1.00E-05
714	1.00E-05
715	1.00E-05
716	1.00E-05
717	1.00E-05
718	1.00E-05
719	1.00E-05
720	1.00E-05
721	1.00E-05
722	1.00E-05
723	1.00E-05
724	1.00E-05
725	1.00E-05
726	1.00E-05
727	1.00E-05
728	1.00E-05
729	1.00E-05
730	1.00E-05
731	1.00E-05
732	1.00E-05
733	1.00E-05
734	1.00E-05
735	1.00E-05
736	1.00E-05
737	1.00E-05
738	1.00E-05
739	1.00E-05
740	1.00E-05
741	1.00E-05
742	1.00E-05
743	1.00E-05
744	1.00E-05
745	1.00E-05
746	1.00E-05
747	1.00E-05
748	1.00E-05
749	1.00E-05
750	1.00E-05
751	1.00E-05
752	1.00E-05
753	1.00E-05
754	1.00E-05
755	1.00E-05
756	1.00E-05
757	1.00E-05
758	1.00E-05
759	1.00E-05
760	1.00E-05
761	1.00E-05
762	1.00E-05
763	1.00E-05
764	1.00E-05
765	1.00E-05
766	1.00E-05
767	1.00E-05
768	1.00E-05
769	1.00E-05
770	1.00E-05
771	1.00E-05
772	1.00E-05
773	1.00E-05
774	1.00E-05
775	1.00E-05
776	1.00E-05
777	1.00E-05
778	1.00E-05
779	1.00E-05
780	1.00E-05
781	1.00E-05
782	1.00E-05
783	1.00E-05
784	1.00E-05
785	1.00E-05
786	1.00E-05
787	1.00E-05
788	1.00E-05
789	1.00E-05
790	1.00E-05
791	1.00E-05
792	1.00E-05
793	1.00E-05
794	1.00E-05
795	1.00E-05
796	1.00E-05
797	1.00E-05
798	1.00E-05
799	1.00E-05
800	1.00E-05
